DiasParaEleicaoBR,DiasParaEleicaoUSA,Selic_Delta_21d,Fed_Delta_63d,Selic_Delta_63d,Spread_BR_US,Spread_BR_US_Delta_21d,Dist_SMA_Cruzamento,MACD_Signal,Brent_Retorno_63d,Dist_SMA_Cruzamento_lag3,SMA_50_Slope_lag3,WTI_Retorno_63d_lag3,BTC_Retorno_63d_lag2,BTC_Volatilidade_21d_lag3,Target_Real,Target_Previsto,Split
1.2737208919425675,-0.5295531327143078,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.3844092901506908,1.002091626588616,-0.37194524136538926,-0.29312919539317733,0.36005441924703135,-0.3039573460771377,-0.2567037243287591,0.5226208029939755,-0.3651723933463057,-0.9055056007901972,0.0,0,Treino
1.2633779913827137,-0.5385875760589636,0.9870799504609289,-0.054719501083276,0.821466070166246,1.3844092901506908,1.002091626588616,-0.38191903056357995,-0.2991889317015992,-0.3519502062357383,-0.3314273401394132,-0.3529766986702276,0.7134066410316198,-0.41438555524184245,-1.1490054567020427,0.0,0,Treino
1.2607922662427502,-0.5408461868951275,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.3844092901506908,0.018027980519067323,-0.38549400792927946,-0.3050232298761146,-0.4013951290713891,-0.3569819698110293,-0.2607257181160216,0.29473521109836015,-0.4716309108738208,-1.1120624833612487,0.0,0,Treino
1.2582065411027867,-0.5431047977312915,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.3844092901506908,0.018027980519067323,-0.39309990621303803,-0.3193964963468528,-0.10582491503775283,-0.37304527797297476,-0.3532819071936609,0.37447828818784634,-0.40322838317875004,-1.0917588171419843,2.0,0,Treino
1.2556208159628233,-0.5453634085674555,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.3844092901506908,0.018027980519067323,-0.42771407573963355,-0.34548808529797603,-0.06467897955347733,-0.38302498717361455,-0.4271351257205323,-0.18906515622624484,-0.40564259925148316,-0.9771552389191325,2.0,0,Treino
1.2530350908228596,-0.5476220194036194,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.3844092901506908,0.018027980519067323,-0.4519211195342329,-0.3677312577189671,-0.1609739096752119,-0.38660208648858924,-0.4728254891300344,-0.3310142454565818,-0.321163346098056,-0.9581326487937795,2.0,0,Treino
1.2452779154029692,-0.5543978519121113,-0.002469071582587093,-0.054719501083276,0.821466070166246,1.3844092901506908,0.018027980519067323,-0.46556567021137435,-0.3789746283926184,-0.23474597394475047,-0.3942124992989307,-0.7456046126124926,-0.12595555208457646,-0.32161192011368794,-0.9567714498709368,0.0,0,Treino
1.2426921902630057,-0.5566564627482752,-0.002469071582587093,-0.054719501083276,0.821466070166246,1.3844092901506908,0.018027980519067323,-0.46701106412053867,-0.3824728581430998,-0.22225464552741653,-0.42884721427363,-0.7671721350494294,-0.07079112187641504,-0.16120483134441588,-0.9476333215616765,0.0,0,Treino
1.2401064651230422,-0.5589150735844391,-0.002469071582587093,-0.054719501083276,0.821466070166246,1.3844092901506908,0.018027980519067323,-0.4687851572053121,-0.37693792004488336,-0.474703454532273,-0.45306862630438305,-0.5123369205023661,-0.1374982214719811,-0.013942577763720357,-0.8252663324093915,0.0,0,Treino
1.2375207399830788,-0.5611736844206031,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.3821574872617042,0.018027980519067323,-0.4692578608240055,-0.36062906393381,-0.44580152600607614,-0.46672127578648415,-0.2200844920404618,-0.19612868253815194,0.003780251159301504,-0.8182483106331787,0.0,0,Treino
