alvo_retorno,horizonte_dias,accuracy,venda_precision,venda_recall,venda_f1,neutro_precision,neutro_recall,neutro_f1,compra_precision,compra_recall,compra_f1,macro_avg_f1,weighted_avg_f1,runtime_seconds
0.05,8,0.5490276356192426,0.1721105527638191,0.19740634005763688,0.18389261744966443,0.6770985668324071,0.7657955673172345,0.718720894132257,0.34328358208955223,0.1969178082191781,0.250272034820457,0.3842951821341261,0.530733362567487,43.7
0.05,9,0.5075819672131148,0.18471337579617833,0.22053231939163498,0.20103986135181975,0.6365618187480536,0.7334050950843201,0.6815605201733911,0.3562585969738652,0.19861963190184048,0.2550467749876908,0.3792157188376339,0.4898997161708557,44.0
0.05,10,0.4682377049180328,0.18688845401174167,0.22029988465974626,0.20222339862361038,0.5894018205461639,0.7024409143742736,0.6409757822167227,0.3593350383631714,0.1962290502793296,0.25383920505871727,0.36567946196635015,0.44942293486723656,39.2
0.05,11,0.44754098360655736,0.19710669077757687,0.23390557939914164,0.2139352306182532,0.557108762359359,0.6839681875261616,0.614054866591507,0.3947681331747919,0.21295702373316228,0.27666666666666667,0.3682189212921423,0.4298541074911179,42.0
0.05,12,0.42646153846153845,0.2141623488773748,0.24949698189134809,0.23048327137546468,0.5198568872987478,0.6565747853592409,0.5802715654952076,0.40997830802603036,0.22661870503597123,0.2918918918918919,0.36754890958752134,0.4102804147412886,47.3
0.05,13,0.4106666666666667,0.22060016220600162,0.258309591642925,0.2379702537182852,0.487189008540661,0.6434526728788622,0.5545224006762468,0.440463645943098,0.23443634324172744,0.30600292825768666,0.36616519421740623,0.39525273296977986,41.7
0.05,14,0.3870636550308008,0.22713643178410794,0.2727272727272727,0.24785276073619633,0.4469578783151326,0.6128342245989304,0.516914749661705,0.448559670781893,0.23080995235574378,0.3047885354771059,0.35651868195833575,0.37325267814405655,44.9
0.05,15,0.37474332648870634,0.24388489208633093,0.2917383820998279,0.2656739811912226,0.4118136439267887,0.5732484076433121,0.4793028322440087,0.46096654275092935,0.25037859666834933,0.3245011449133137,0.3564926527828483,0.36536055965151504,41.4
0.05,16,0.3642710472279261,0.2522214627477785,0.3054635761589404,0.2763010108573568,0.3855421686746988,0.5373134328358209,0.4489477786438036,0.46397941680960547,0.26338851022395326,0.3360248447204969,0.35375787807388576,0.35849582756279746,43.6
0.05,17,0.35683453237410073,0.26143790849673204,0.32102728731942215,0.2881844380403458,0.35984848484848486,0.5121293800539084,0.42269187986651835,0.47097301717089124,0.26978922716627635,0.3430613460393091,0.3513125546487244,0.3532967180501766,42.9
0.05,18,0.347584789311408,0.2701688555347092,0.33410672853828305,0.2987551867219917,0.3272003978120338,0.4806428049671293,0.3893491124260355,0.4788844621513944,0.27280980481162054,0.3475997686524002,0.34523468926680917,0.3463662243954811,44.7
0.05,19,0.3545267489711934,0.28884826325411334,0.3555888972243061,0.3187626092804304,0.310252281266774,0.45836637589214907,0.3700384122919334,0.4948377581120944,0.2961165048543689,0.37051352843732743,0.3531048500032304,0.3561960188292029,42.1
0.05,20,0.34588477366255144,0.2867557715674362,0.34227701232777374,0.31206611570247933,0.2827586206896552,0.42671292281006074,0.3401313515381956,0.4864314789687924,0.3079896907216495,0.37716991057338245,0.3431224592713525,0.34990991228232365,43.1
0.06,3,0.9064351378958121,0.09448818897637795,0.10619469026548672,0.1,0.9399105050074579,0.9666885820731974,0.9531114952463267,0.18666666666666668,0.0639269406392694,0.09523809523809523,0.3827831968281406,0.895036750902172,39.8
0.06,4,0.854601226993865,0.12562814070351758,0.14534883720930233,0.1347708894878706,0.9101941747572816,0.9422110552763819,0.9259259259259259,0.18238993710691823,0.08529411764705883,0.11623246492985972,0.39230976011455204,0.841800272959462,40.6
0.06,5,0.8024539877300614,0.13167259786476868,0.16017316017316016,0.14453125,0.8782668500687758,0.9167264895908112,0.8970846505093081,0.22672064777327935,0.11666666666666667,0.15405777166437415,0.39855789072456077,0.7885994281446418,41.4
0.06,6,0.7533742331288343,0.13020833333333334,0.16393442622950818,0.14513788098693758,0.8450536352800954,0.8947501261988895,0.8691921049405419,0.2861736334405145,0.14285714285714285,0.1905781584582441,0.4016360481285745,0.7375738990173679,41.3
0.06,7,0.7025588536335722,0.1323529411764706,0.16112531969309463,0.1453287197231834,0.8101644245142003,0.8685897435897436,0.8383604021655066,0.29620253164556964,0.156,0.20436681222707423,0.3960186447052547,0.6855516856273751,39.7
0.06,8,0.6560900716479018,0.13732394366197184,0.16595744680851063,0.15028901734104047,0.7746881496881497,0.8423283413393614,0.8070935427101665,0.31130063965884863,0.16666666666666666,0.2171003717472119,0.391494310599473,0.638100268465123,42.1
0.06,9,0.6131147540983607,0.1465648854961832,0.17943925233644858,0.16134453781512606,0.7386948280530734,0.8167664670658683,0.7757713635717333,0.3157894736842105,0.16716417910447762,0.21860767729342875,0.38524119289342934,0.5936672946189708,39.3
0.06,10,0.5774590163934427,0.15543328748280605,0.18646864686468648,0.1695423855963991,0.7049873203719358,0.7932783766645529,0.7465314038490228,0.3360927152317881,0.18125,0.2354988399071926,0.38385754311753817,0.5575945561695269,46.3
0.06,11,0.544672131147541,0.16069221260815822,0.19374068554396423,0.17567567567567569,0.6721120186697783,0.774453781512605,0.719662658129002,0.3483670295489891,0.18152350081037277,0.23867874267448055,0.3780056921597194,0.5232385972894402,49.8
0.06,12,0.5195897435897436,0.16470588235294117,0.19151846785225718,0.17710309930423782,0.6452590124204787,0.7577374599786553,0.6969895287958116,0.3632596685082873,0.1972993248312078,0.2557122022362664,0.37660161011210525,0.4983721634086907,43.3
0.06,13,0.49846153846153846,0.176878612716763,0.1956521739130435,0.18579234972677597,0.6117283950617284,0.745393004889056,0.6719783014070181,0.38311688311688313,0.20571827057182707,0.2676950998185118,0.3751552503174353,0.47506762955227605,45.0
0.06,14,0.4759753593429158,0.17717391304347826,0.19685990338164253,0.18649885583524028,0.5809948979591837,0.7320208919244676,0.6478222222222222,0.4090909090909091,0.21442369607211847,0.2813688212927757,0.3718966331167461,0.4525290232464827,40.6
0.06,15,0.4535934291581109,0.17753259779338015,0.20368239355581128,0.18971061093247588,0.5516562807477862,0.7148321291967701,0.6227323213624584,0.42475728155339804,0.21237864077669902,0.28317152103559873,0.3652048177768443,0.4305573592880601,41.5
0.06,16,0.4293634496919918,0.1865605658709107,0.23034934497816595,0.2061553492916463,0.5266086956521739,0.6810616284300495,0.5939584150647312,0.4236111111111111,0.21143847487001732,0.28208092485549136,0.360731563070623,0.41016220483878874,43.1
0.06,17,0.4117163412127441,0.19131161236424393,0.23903966597077245,0.21252900232018562,0.5005480453050786,0.6520704426463588,0.5663497312939231,0.4339419978517723,0.22369878183831673,0.2952137376689806,0.35803082376102974,0.3960245796303082,40.4
0.06,18,0.38848920863309355,0.2046692607003891,0.2627372627372627,0.23009623797025372,0.46799540053660404,0.6135678391959799,0.5309849967384214,0.4181256436663234,0.21664887940234792,0.28541300527240776,0.3488314133270276,0.3744810790540955,40.9
0.06,19,0.3757201646090535,0.22279792746113988,0.2883141762452107,0.251356993736952,0.4404907975460123,0.5756280064136825,0.4990732159406858,0.42105263157894735,0.23033419023136248,0.2977733466267863,0.349401185434808,0.3652987340896091,41.5
0.06,20,0.3668724279835391,0.22508960573476702,0.2894009216589862,0.2532258064516129,0.4196078431372549,0.5465380249716232,0.474735025881193,0.4324786324786325,0.25136612021857924,0.31793905120955074,0.3486332945141189,0.3603383591949563,39.7
