Date,Close,High,Low,Open,Volume,Retorno_Diario,Ticker,DiasParaEleicaoBR,DiasParaEleicaoUSA,Alvo
2015-09-24,25.770536422729492,25.882582233263097,25.181176074808743,25.37837608586187,200878000,0.005948574097819126,AAPL,1130,411,1.0
2015-09-25,25.70554542541504,26.149247514512346,25.55092168517637,26.093224618447103,224607600,-0.0025219109237141213,AAPL,1129,410,1.0
2015-09-28,25.19685935974121,25.67417383915858,25.19685935974121,25.51282761803632,208436000,-0.019788962157982093,AAPL,1126,407,1.0
2015-09-29,24.439430236816406,25.436638918856183,24.17052099091989,25.28425655693261,293461600,-0.030060457619373038,AAPL,1125,406,1.0
2015-09-30,24.717300415039062,24.995173478183187,24.36547672478694,24.688167417260352,265892000,0.011369748620573938,AAPL,1124,405,1.0
2015-10-01,24.555950164794922,24.564914031119272,24.04726143640484,24.441663006262814,255716400,-0.006527826564181272,AAPL,1123,404,1.0
2015-10-02,24.735231399536133,24.876410208622598,24.101053439948966,24.204135375817142,232079200,0.007300928432337317,AAPL,1122,403,1.0
2015-10-05,24.824861526489258,24.95707642944402,24.44166518283313,24.62317879043792,208258800,0.003623581502245621,AAPL,1119,400,1.0
2015-10-06,24.943639755249023,25.03999922827215,24.59853842650767,24.791257372553925,192787200,0.004784648189599228,AAPL,1118,399,1.0
2015-10-07,24.824861526489258,25.046711681304316,24.517857198533786,25.039989208383076,187062400,-0.0047618643439865105,AAPL,1117,398,1.0
2015-10-08,24.538026809692383,24.69265053942736,24.248948480471036,24.69265053942736,247918400,-0.011554333001648764,AAPL,1116,397,1.0
2015-10-09,25.125144958496094,25.160998717114264,24.535783093498896,24.6500702616048,211064400,0.023926868829232895,AAPL,1115,396,1.0
2015-10-12,25.008617401123047,25.266323033422697,24.972763641064162,25.261841954546423,121868800,-0.00463788597301773,AAPL,1112,393,1.0
2015-10-13,25.051198959350586,25.19909851917271,24.802457158588552,24.833829844298798,132197200,0.0017026754236173502,AAPL,1111,392,1.0
2015-10-14,24.69713020324707,24.990689594765872,24.551470349782807,24.939149494263113,177849600,-0.014133804800243177,AAPL,1110,391,1.0
2015-10-15,25.06688690185547,25.120668407978943,24.75988078960425,24.858481642233333,150694000,0.014971646323498122,AAPL,1109,390,1.0
2015-10-16,24.88312339782715,25.098251058884237,24.768836240187152,25.048950649326486,156930400,-0.007330926442833174,AAPL,1108,389,1.0
2015-10-19,25.037755966186523,25.042237046059405,24.674726947885187,24.82935070359038,119036800,0.006214355243396641,AAPL,1105,386,1.0
2015-10-20,25.494901657104492,25.584538642829024,24.833832093042265,24.950358977705847,195871200,0.018258253316924433,AAPL,1104,385,1.0
2015-10-21,25.492658615112305,25.900505222254605,25.479211957730133,25.546440115591764,167180800,-8.798002135312899e-05,AAPL,1103,384,1.0
2015-10-22,25.882587432861328,25.882587432861328,25.568858758405053,25.620400593865533,166616400,0.015295729787785595,AAPL,1102,383,1.0
2015-10-23,26.68482208251953,26.718436156827863,26.068570322370572,26.151483101357233,237467600,0.030995148832750008,AAPL,1101,382,1.0
2015-10-26,25.833282470703125,26.47194326531328,25.752609348259377,26.460739709780412,265335200,-0.03191100953130299,AAPL,1098,379,1.0
2015-10-27,25.669694900512695,26.11563673075913,25.544202434904744,25.860172429236382,279537600,-0.006332434539666032,AAPL,1097,378,1.0
2015-10-28,26.727405548095703,26.734129732523552,26.008071685812876,26.203032001821295,342205600,0.04120464429680015,AAPL,1096,377,1.0
2015-10-29,27.009754180908203,27.045609649466968,26.503306800454087,26.599666235102223,204909200,0.010564011995269018,AAPL,1095,376,1.0
2015-10-30,26.778940200805664,27.16437794000668,26.767734939442647,27.112836131292795,197461200,-0.008545578703033518,AAPL,1094,375,1.0
2015-11-02,27.15542221069336,27.195758770132144,26.80359844046524,27.07026801173741,128813200,0.01405888384919618,AAPL,1091,372,1.0
2015-11-03,27.466907501220703,27.67307136407972,27.04785559133018,27.06802472448119,182076000,0.011470463913637374,AAPL,1090,371,1.0
2015-11-04,27.33917236328125,27.747018964575663,27.254018179602827,27.592395229520825,179544400,-0.004650510361742577,AAPL,1089,370,1.0
2015-11-05,27.21314239501953,27.61148327358103,27.046605283344793,27.422439708246415,158210800,-0.0046098677233912255,AAPL,1088,369,1.0
2015-11-06,27.244647979736328,27.413436071565854,27.14562680009053,27.25590120599213,132169200,0.001157734166068236,AAPL,1087,368,1.0
2015-11-09,27.134374618530273,27.41343712700554,27.017348959170107,27.222144292300733,135485600,-0.0040475238031364436,AAPL,1084,365,1.0
2015-11-10,26.279186248779297,26.571753032227548,26.119400355881204,26.308443957325128,236511600,-0.0315167893778161,AAPL,1083,364,1.0
2015-11-11,26.130651473999023,26.42546750582627,25.92810538774302,26.189165169362212,180872000,-0.0056521831906866105,AAPL,1082,363,1.0
2015-11-12,26.042879104614258,26.290434643627425,26.02712561714073,26.1644067438392,130102400,-0.0033589812895442606,AAPL,1081,362,1.0
2015-11-13,25.28220558166504,26.00912040774217,25.26645209463557,25.925850995157077,183249600,-0.02920850340292991,AAPL,1080,361,1.0
2015-11-16,25.696300506591797,25.709803005200715,24.980638891296227,25.066157577488287,152426800,0.01637890822417276,AAPL,1077,358,1.0
2015-11-17,25.586027145385742,25.892096384430133,25.502757727542303,25.86283868024117,110467600,-0.0042914100096924646,AAPL,1076,357,1.0
2015-11-18,26.396211624145508,26.44122110260724,25.99337043900729,26.051884134608777,186698800,0.03166511448440623,AAPL,1075,356,1.0
2015-11-19,26.731531143188477,26.94983067262639,26.276929326988782,26.47497339356073,173183200,0.012703319848225592,AAPL,1074,355,1.0
2015-11-20,26.84856605529785,26.9880964780301,26.74729214650655,26.826059597565344,137148400,0.00437815969023525,AAPL,1073,354,1.0
2015-11-23,26.499732971191406,26.94533433204748,26.407461314604493,26.841809448120213,129930000,-0.012992615076275693,AAPL,1070,351,1.0
2015-11-24,26.754037857055664,26.859812005289776,26.35794969460624,26.405210155455276,171212800,0.009596507487102501,AAPL,1069,350,1.0
2015-11-25,26.562742233276367,26.832804188746852,26.537986511099877,26.82830221180506,85553200,-0.007150158970446685,AAPL,1068,349,1.0
2015-11-27,26.51323699951172,26.64826886737804,26.465976532559118,26.62126215040447,52185600,-0.0018637094517535147,AAPL,1066,347,1.0
2015-11-30,26.62350845336914,26.873314961150975,26.499729835278604,26.553741542717557,156721200,0.00415910942369857,AAPL,1063,344,1.0
2015-12-01,26.40746307373047,26.738288062358166,26.29943963887339,26.724785562251416,139409600,-0.008114835053279035,AAPL,1062,343,1.0
2015-12-02,26.168903350830078,26.580746673425974,26.123893883475812,26.4074566184097,133546400,-0.009033799355671723,AAPL,1061,342,1.0
2015-12-03,25.92585563659668,26.283687358901076,25.705306778699796,26.229675638987786,166278000,-0.009287653784150196,AAPL,1060,341,1.0
2015-12-04,26.787790298461914,26.83730173781367,25.905591777106256,25.94610098048488,231108000,0.03324614137897686,AAPL,1059,340,1.0
2015-12-07,26.61901092529297,26.97459163578406,26.513236764336625,26.776547530739133,128336800,-0.006300608272965191,AAPL,1056,337,1.0
2015-12-08,26.60776138305664,26.691029094394686,26.29944111628699,26.44797377680992,137238000,-0.0004226130816017415,AAPL,1055,336,1.0
2015-12-09,26.02037811279297,26.486233271703043,25.89885045607709,26.474980043173172,185445600,-0.022075636571128765,AAPL,1054,335,1.0
2015-12-10,26.144155502319336,26.31744560952406,25.995622841716926,26.114899511428376,116850800,0.004756940463732651,AAPL,1053,334,1.0
2015-12-11,25.471254348754883,25.96861650319326,25.396987158865464,25.92360702162482,187544800,-0.025738110129614133,AAPL,1052,333,1.0
2015-12-14,25.313711166381836,25.358720633228092,24.708324050393436,25.246195249111352,257274800,-0.006185136397915514,AAPL,1049,330,1.0
2015-12-15,24.865867614746094,25.385736239096286,24.834360633512954,25.192192373234604,213292400,-0.017691738231986553,AAPL,1048,329,1.0
2015-12-16,25.057153701782227,25.20343705615663,24.485526216013525,24.996390745011965,224954000,0.007692717181631448,AAPL,1047,328,1.0
2015-12-17,24.52604103088379,25.26195651416769,24.52604103088379,25.21019406605215,179091200,-0.021196049528189653,AAPL,1046,327,1.0
