horizonte_dias,alvo_retorno,total_venda,total_neutro,total_compra,EV_Compra,EV_Venda,accuracy,venda_precision,venda_recall,venda_f1,neutro_precision,neutro_recall,neutro_f1,compra_precision,compra_recall,compra_f1,macro_avg_f1,weighted_avg_f1
30,0.03,10293,237,14180,0.008656987295825772,-0.004875262298904172,0.4444214876033058,0.4187456283515971,0.903420523138833,0.5722478891190059,0.0,0.0,0.0,0.6442831215970962,0.12637949448202207,0.2113095238095238,0.26118580430950994,0.357685383460648
30,0.05,9073,2068,13569,0.011315280464216634,-0.01583391163543835,0.3706611570247934,0.3416608836456165,0.8995127892813642,0.49522212908633695,0.0,0.0,0.0,0.6131528046421664,0.1180633147113594,0.19800124921923798,0.23107445943519164,0.2778487789490536
30,0.07,7329,5652,11729,0.0044070278184480255,-0.03833815028901734,0.2700413223140496,0.22615606936416185,0.8436657681940701,0.35669515669515667,1.0,0.0035335689045936395,0.007042253521126761,0.5314787701317716,0.1570069204152249,0.24240400667779632,0.20204713896469326,0.19987697553164646
30,0.1,4915,11161,8634,-0.01160220994475139,-0.07336894315146891,0.3415289256198347,0.13315528424265546,0.6166077738515902,0.21901474741135865,0.6160473882606354,0.4315352697095436,0.5075421472937001,0.4419889502762431,0.09858287122612445,0.16120906801007556,0.2959219875717114,0.35766506134107034
30,0.15,2207,17849,4654,-0.036842105263157884,-0.13133535660091047,0.7101239669421487,0.0622154779969651,0.2578616352201258,0.10024449877750612,0.8244406196213425,0.8599640933572711,0.8418277680140598,0.37719298245614036,0.054987212276214836,0.09598214285714286,0.3460181365495696,0.6969593757245307
30,0.2,1065,21094,2551,-0.2,-0.2,0.9090909090909091,0.0,0.0,0.0,0.9090909090909091,1.0,0.9523809523809523,0.0,0.0,0.0,0.31746031746031744,0.8658008658008657
30,0.25,584,22697,1429,-0.25,-0.25,0.9522727272727273,0.0,0.0,0.0,0.9542443064182194,0.9978350292271054,0.9755529685681025,0.0,0.0,0.0,0.32518432285603416,0.9310080912843111
30,0.3,322,23493,895,-0.3,-0.3,0.9669421487603306,0.0,0.0,0.0,0.9669421487603306,1.0,0.9831932773109243,0.0,0.0,0.0,0.3277310924369748,0.9506910202097366
30,0.4,81,24202,427,-0.4,-0.4,0.9793388429752066,0.0,0.0,0.0,0.9793388429752066,1.0,0.9895615866388309,0.0,0.0,0.0,0.3298538622129436,0.9691160993115824
30,0.5,27,24512,171,-0.5,-0.5,0.9931818181818182,0.0,0.0,0.0,0.9931818181818182,1.0,0.9965792474344356,0.0,0.0,0.0,0.3321930824781452,0.9897843889292007
90,0.03,10040,0,14070,0.009533527696793005,-0.004749828649760106,0.43813559322033896,0.42083618917066484,0.9402756508422665,0.5814393939393939,0.0,0.0,0.0,0.6588921282798834,0.08185440057950018,0.14561855670103094,0.24235265021347496,0.32650267113958037
