horizonte_dias,alvo_retorno,total_venda,total_neutro,total_compra,EV_Compra,EV_Venda,accuracy,venda_precision,venda_recall,venda_f1,neutro_precision,neutro_recall,neutro_f1,compra_precision,compra_recall,compra_f1,macro_avg_f1,weighted_avg_f1
180,0.03,9688,0,13522,0.004831665150136491,-0.005224856909239576,0.5351769911504425,0.4129190515126738,0.267478813559322,0.3246544519447123,0.0,0.0,0.0,0.5805277525022748,0.7272036474164134,0.6456400742115028,0.3234315087187384,0.5115646638487372
180,0.05,9183,0,14027,0.01172972972972973,-0.006618911174785101,0.5464601769911505,0.433810888252149,0.4161627267729522,0.42480359147025815,0.0,0.0,0.0,0.6172972972972973,0.6342095520177712,0.6256391526661796,0.3501475813788126,0.5448161690787059
180,0.07,8697,0,14513,0.02042553191489362,-0.010677966101694917,0.5530973451327433,0.423728813559322,0.4618937644341801,0.4419889502762431,0.0,0.0,0.0,0.6458966565349544,0.6097560975609756,0.6273062730627307,0.3564317411129913,0.5562952989330412
180,0.1,8121,167,14922,0.04169301018616087,-0.010855063674954514,0.6088495575221239,0.44572468162522744,0.48450889914304546,0.46430827542640557,0.0,0.0,0.0,0.7084650509308044,0.6855880353501019,0.6968388322680946,0.3870490358981667,0.6093928093704849
180,0.15,6115,1808,15287,0.061904761904761914,-0.033791208791208796,0.584070796460177,0.3873626373626374,0.3164983164983165,0.3483631871525633,0.08527131782945736,0.07942238267148015,0.08224299065420561,0.7063492063492064,0.7525203252032521,0.7287041410801448,0.3864367729623046,0.5744954536276126
180,0.2,4637,4566,14007,0.07492625368731565,-0.09775401069518719,0.5106194690265486,0.2556149732620321,0.5,0.33828733191790517,0.23482245131729668,0.1646586345381526,0.1935788479697828,0.6873156342182891,0.6664283160529139,0.6767108368124887,0.4028590055667256,0.5078467302972719
180,0.25,3612,7741,11857,0.015625,-0.16872561768530558,0.3831858407079646,0.1625487646293888,0.35410764872521244,0.22281639928698752,0.2457438934122872,0.18874360432063672,0.2135048231511254,0.53125,0.529485049833887,0.5303660565723793,0.3222290930034974,0.3830377515702269
180,0.3,2520,10707,9983,-0.04491525423728812,-0.2798969072164948,0.40486725663716816,0.03350515463917526,0.06598984771573604,0.044444444444444446,0.4551792828685259,0.3939655172413793,0.422365988909427,0.4251412429378531,0.45082376435346977,0.4376060092076569,0.3014721475205095,0.41264811643105376
180,0.4,1257,14976,6977,-0.24941176470588233,-0.4,0.5398230088495575,0.0,0.0,0.0,0.6732554657082959,0.6979199006519714,0.6853658536585366,0.18823529411764706,0.15023474178403756,0.1671018276762402,0.28415589377825895,0.5356459182310579
180,0.5,575,17553,5082,-0.4019607843137255,-0.5,0.6300884955752213,0.0,0.0,0.0,0.779445073612684,0.7550740537575426,0.7670660351072722,0.09803921568627451,0.10869565217391304,0.10309278350515463,0.29005293953747563,0.6386782868992521
360,0.03,8918,0,12492,0.002404629232747535,-0.0008702791461412136,0.5161057692307692,0.48549534756431306,0.45255102040816325,0.4684446791655664,0.0,0.0,0.0,0.5400771538791256,0.5727272727272728,0.5559232296492389,0.34145596960493513,0.5147073741328931
