horizonte_dias,alvo_retorno,total_venda,total_neutro,total_compra,EV_Compra,EV_Venda,accuracy,venda_precision,venda_recall,venda_f1,neutro_precision,neutro_recall,neutro_f1,compra_precision,compra_recall,compra_f1,macro_avg_f1,weighted_avg_f1
180,0.25,3614,7740,11856,0.037128712871287106,-0.2142857142857143,0.4008810572687225,0.07142857142857142,0.233983286908078,0.10944625407166124,0.483271375464684,0.5899035734543392,0.5312899106002554,0.5742574257425742,0.2878411910669975,0.3834710743801653,0.3414024130173607,0.41920448798484944
180,0.3,2520,10707,9983,0.03268482490272373,-0.2835616438356164,0.4825991189427313,0.0273972602739726,0.10101010101010101,0.04310344827586207,0.5754852624011503,0.6874194933447831,0.6264918802582665,0.5544747081712063,0.28315946348733234,0.37487668530088786,0.34815733794500553,0.48948476638564115
180,0.4,1257,14976,6977,0.015106732348111662,-0.4,0.6662995594713657,0.0,0.0,0.0,0.7596747055524397,0.8371446229913473,0.796530432225816,0.5188834154351396,0.24629773967264224,0.33403805496828753,0.3768561623980345,0.6621461020279854
180,0.5,575,17550,5085,0.055012224938875254,-0.5,0.7955947136563877,0.0,0.0,0.0,0.8424589347934296,0.9241059241059241,0.8813956516078636,0.5550122249388753,0.2588369441277081,0.35303265940902023,0.41147610367229465,0.7793308180928006
360,0.03,8918,0,12492,0.0009803921568627486,-0.0025981524249422613,0.4916267942583732,0.45669745958429564,0.40050632911392403,0.4267601834367413,0.0,0.0,0.0,0.5163398692810458,0.5732426303854875,0.5433053943692242,0.3233551926019885,0.4882391762850965
360,0.05,8430,0,12980,0.002522140931844441,-0.005337965887555272,0.4954545454545455,0.44662034112444726,0.36443298969072163,0.40136247516321316,0.0,0.0,0.0,0.5252214093184444,0.6089285714285714,0.5639859416994004,0.3217828056208712,0.4885099787615527
360,0.07,8025,0,13385,0.0028123848138591895,-0.0076823449216087275,0.4937799043062201,0.4451261077027948,0.3340153452685422,0.3816481589713618,0.0,0.0,0.0,0.5200884629561371,0.6341573033707865,0.5714864317537465,0.3177115302417028,0.4826984357514589
360,0.1,7641,0,13769,0.009149855907780988,-0.008547008547008551,0.5160287081339713,0.45726495726495725,0.3373620599054125,0.3882673117629271,0.0,0.0,0.0,0.545749279538905,0.6653491436100132,0.5996437759746686,0.3293036959125319,0.5034118593730074
360,0.15,6384,326,14700,0.02714723926380369,-0.04126984126984126,0.5033492822966508,0.36243386243386244,0.33827160493827163,0.3499361430395913,0.26666666666666666,0.16326530612244897,0.20253164556962025,0.5904907975460123,0.6255077173030057,0.6074950690335306,0.38665428588091405,0.4981812231939026
360,0.2,5761,1066,14583,0.03766781741465283,-0.10007262164124908,0.4763157894736842,0.24981844589687727,0.261995430312262,0.25576208178438664,0.5,0.23557692307692307,0.3202614379084967,0.5941695435366321,0.6319869441044471,0.6124950573349149,0.3961728590092661,0.47135640121548106
360,0.25,5038,2272,14100,0.04004415897230029,-0.15593677717810328,0.44473684210526315,0.18812644564379338,0.22803738317757008,0.20616814533164343,0.4336734693877551,0.22727272727272727,0.2982456140350877,0.5800883179446006,0.6117696867061811,0.5955079332371729,0.36664056420130137,0.4426500892605997
