DiasParaEleicaoBR,DiasParaEleicaoUSA,Ouro_Fechamento,Fed_Delta_21d,Selic_Delta_21d,Fed_Delta_63d,Selic_Delta_63d,Spread_BR_US,Spread_BR_US_Delta_21d,Dist_SMA_Cruzamento,MACD_Line,MACD_Signal,Brent_Retorno_63d,Dist_SMA_Cruzamento_lag3,Brent_Retorno_21d_lag2,Target_Real,Target_Previsto,Split
1.1832205120438455,-0.6086045119800461,1.7576862657467565,1.2724159647968996,-0.9920180936261029,1.37365826999341,-0.40970904690701554,0.10088164342827931,-1.4580674885852558,0.003836114206712424,-0.9635872362699305,1.0924137622973444,0.5759511688107978,0.11152949480713065,0.9761762870709955,2.0,2,Teste
1.180634786903882,-0.61086312281621,1.7854919213146496,1.2724159647968996,-0.9920180936261029,0.659469384455067,-0.40970904690701554,0.10088164342827931,-1.4580674885852558,-0.03536598869499111,-1.4274493115851565,0.5669762215978026,0.6323288855189915,0.08740057361427186,0.8172535903699827,2.0,2,Teste
1.1728776114839916,-0.6176389553247019,1.763174241711971,1.2724159647968996,-0.9920180936261029,0.659469384455067,-0.40970904690701554,0.10088164342827931,-1.4580674885852558,-0.057748663315437036,-1.6360821312106,0.10185578900324596,0.3771368230796174,0.048496947433282596,0.7858918341128965,2.0,2,Teste
1.1702918863440281,-0.6198975661608659,1.7287828363407678,1.3255234778437555,-0.9920180936261029,0.659469384455067,-0.40970904690701554,0.10088164342827931,-1.4777487615066465,-0.07521509264279509,-2.0279922327481907,-0.35434032649058245,0.3117867389242958,0.0029591250201221287,0.9211305521099793,2.0,2,Teste
1.1677061612040647,-0.6221561769970299,1.6969527543875762,1.2724159647968996,-0.9920180936261029,0.659469384455067,-0.40970904690701554,0.10088164342827931,-1.4580674885852558,-0.10402528330638937,-2.544541483356131,-0.8301432335681637,0.3645073487379907,-0.03626624652160826,0.5928451801475825,2.0,2,Teste
1.1651204360641012,-0.6244147878331937,1.6932941037440998,1.2724159647968996,-0.9920180936261029,0.659469384455067,-0.40970904690701554,0.10088164342827931,-1.4580674885852558,-0.1483174023314154,-2.880090282539349,-1.2827907883099137,0.3653672803133295,-0.05866220651095103,0.7724907472001483,2.0,2,Teste
1.1625347109241377,-0.6266733986693577,1.6878061277788856,1.2724159647968996,-0.9920180936261029,0.659469384455067,-0.40970904690701554,0.10088164342827931,-1.4580674885852558,-0.2057908670975892,-3.2281138241101983,-1.719591009172436,0.488154705544588,-0.07613900314073652,0.7183797716704741,2.0,2,Teste
1.1547775355042473,-0.6334492311778496,1.6793910526538385,1.2724159647968996,-0.9920180936261029,0.659469384455067,-0.40970904690701554,0.10088164342827931,-1.4580674885852558,-0.2551939053388393,-3.2832273370263807,-2.080857963763539,0.5088415008892752,-0.10496629426338874,0.517732763389273,2.0,2,Teste
1.1521918103642836,-0.6357078420140135,1.649756071764207,1.2724159647968996,-0.9920180936261029,0.659469384455067,-0.40970904690701554,0.10088164342827931,-1.4580674885852558,-0.34239540555832093,-3.422635078007626,-2.399786956575999,0.3547576516697039,-0.14928470313761508,0.4218420899925805,2.0,2,Teste
1.1496060852243202,-0.6379664528501775,1.6263406183234328,1.2724159647968996,-0.9920180936261029,0.659469384455067,-0.40970904690701554,0.10088164342827931,-1.4580674885852558,-0.41849293400086696,-3.5421064195451017,-2.6805674391631733,0.2893390515092336,-0.20679228161871108,0.5249002673149787,2.0,2,Teste
